Maturity,Base Yield,Mean Reversion,Level Up,Level Down,Twist Up-to-Down,Twist Down-to-Up
1,-0.00132,-0.001178613,-0.000651034,-0.001988966,-0.001733502,-0.000906498
2,-0.0006,-0.000461359,0.000653012,-0.001853012,-5.03814E-05,-0.001149619
3,-0.0005,-0.000355093,0.001291551,-0.002291551,0.00067859,-0.00167859
4,0.0003,0.000457401,0.002586013,-0.001986013,0.001857587,-0.001257587
5,0.00104,0.001214036,0.003778553,-0.001698553,0.002791316,-0.000711316
6,0.0015,0.001693261,0.00465176,-0.00165176,0.003309363,-0.000309363
7,0.00214,0.002353934,0.00566844,-0.00138844,0.003909578,0.000370422
8,0.00297,0.003205226,0.006841466,-0.000901466,0.004630729,0.001309271
9,0.00333,0.003586544,0.007513674,-0.000853674,0.004834563,0.001825437
10,0.00366,0.003937474,0.008127797,-0.000807797,0.00497741,0.00234259
11,0.004334292,0.004632354,0.009062122,-0.000394815,0.005440113,0.003227538
12,0.005230621,0.005548523,0.01019625,0.000262523,0.006115163,0.004344252
13,0.006203082,0.006539666,0.011384974,0.001018541,0.006867311,0.005536861
14,0.007164244,0.007518076,0.012541313,0.001785457,0.007614643,0.006712525
15,0.00806,0.008429455,0.013611413,0.002508587,0.008305661,0.007814339
16,0.008859927,0.00924341,0.014566232,0.003155563,0.008910311,0.008811129
17,0.009560292,0.009956881,0.015407909,0.003716103,0.009422285,0.009701183
18,0.010162285,0.010571763,0.016143541,0.00418492,0.009839421,0.010488505
19,0.010665987,0.011088757,0.016778259,0.004556594,0.010158267,0.011176245
20,0.01107,0.011507034,0.017315229,0.004824771,0.010373676,0.011766324
21,0.011379234,0.01183167,0.017761148,0.00499274,0.010489639,0.012264671
22,0.011625198,0.012092993,0.018140424,0.005100797,0.010546848,0.012695167
23,0.011837082,0.01231915,0.018475862,0.005185704,0.010582339,0.013080272
24,0.012036088,0.012530708,0.018784755,0.005273046,0.010621873,0.013437082
25,0.012238055,0.012743122,0.01908059,0.005381044,0.010683769,0.013779
26,0.012455386,0.012968567,0.019374335,0.00552333,0.010781681,0.014116994
27,0.012698505,0.013217314,0.019675418,0.005710995,0.010926668,0.014460553
28,0.012977003,0.013498819,0.019992512,0.005954165,0.011128768,0.014818465
29,0.013300593,0.013822636,0.020334208,0.006263299,0.011398311,0.015199476
30,0.01368,0.014199262,0.020709621,0.006650379,0.011747101,0.015612899
31,0.014120655,0.014634082,0.021123839,0.007120879,0.012180477,0.016063977
32,0.014603836,0.015109249,0.021564286,0.007649708,0.012673512,0.016539997
33,0.015110767,0.015606809,0.022017988,0.008212225,0.013201697,0.017027866
34,0.015628211,0.016114087,0.022475738,0.008791192,0.01374784,0.017518329
35,0.016146881,0.016622184,0.022931054,0.009374583,0.014299908,0.018004901
36,0.016660324,0.017124914,0.023379431,0.009954071,0.014849539,0.01848311
37,0.017164135,0.017618052,0.023817812,0.010523976,0.015390995,0.018949943
38,0.017655385,0.018098792,0.024244188,0.011080514,0.015920425,0.019403452
39,0.018132216,0.018565353,0.02465732,0.01162126,0.016435338,0.019842461
40,0.018593538,0.019016698,0.02505652,0.012144768,0.016934215,0.020266348
41,0.019038815,0.019452319,0.025441504,0.01265029,0.017416236,0.020674896
42,0.019467905,0.019872089,0.025812271,0.013137568,0.017881079,0.021068167
43,0.019880941,0.020276145,0.026169021,0.013606694,0.018328769,0.021446424
44,0.020278246,0.020664809,0.026512091,0.014057997,0.018759574,0.021810062
45,0.020660273,0.021038525,0.026841909,0.014491964,0.019173926,0.022159566
46,0.021027555,0.021397817,0.027158961,0.014909187,0.019572363,0.022495474
47,0.021380672,0.021743254,0.027463767,0.015310317,0.019955486,0.022818354
48,0.02172023,0.022075429,0.027756859,0.015696039,0.020323933,0.023128784
49,0.02204684,0.022394939,0.028038771,0.016067046,0.020678354,0.023427342
50,0.02236111,0.022702379,0.028310031,0.016424027,0.0210194,0.023714595
51,0.022663632,0.022998328,0.028571153,0.016767656,0.021347708,0.023991094
52,0.02295498,0.023283347,0.028822633,0.017098588,0.021663897,0.024257368
53,0.023235706,0.023557974,0.029064946,0.01741745,0.021968561,0.024513926
54,0.023506335,0.023822726,0.029298546,0.01772484,0.022262271,0.02476125
55,0.023767367,0.024078089,0.029523864,0.018021329,0.02254557,0.024999801
56,0.024019278,0.02432453,0.02974131,0.018307456,0.02281897,0.025230013
57,0.024262516,0.024562486,0.029951269,0.018583733,0.023082959,0.025452297
58,0.024497505,0.024792372,0.030154108,0.018850642,0.023337998,0.02566704
59,0.024724644,0.025014578,0.03035017,0.019108636,0.023584518,0.025874608
60,0.02494431,0.025229474,0.030539781,0.019358146,0.02382293,0.026075346
61,0.025156858,0.025437406,0.030723246,0.019599573,0.024053619,0.026269577
62,0.025362623,0.025638701,0.030900854,0.019833298,0.024276947,0.026457608
63,0.025561918,0.025833668,0.031072876,0.020059679,0.024493256,0.026639726
64,0.025755041,0.026022595,0.031239568,0.020279052,0.024702868,0.026816201
65,0.025942272,0.026205758,0.031401171,0.020491735,0.024906086,0.02698729
66,0.026123872,0.026383412,0.031557913,0.020698027,0.025103196,0.027153233
67,0.026300091,0.026555802,0.031710007,0.02089821,0.025294467,0.027314257
68,0.026471163,0.026723155,0.031857656,0.021092549,0.025480153,0.027470576
69,0.02663731,0.02688569,0.032001051,0.021281296,0.025660494,0.027622392
70,0.026798739,0.027043609,0.032140373,0.021464688,0.025835718,0.027769897
71,0.026955648,0.027197107,0.032275791,0.021642949,0.026006037,0.02791327
72,0.027108225,0.027346365,0.032407468,0.02181629,0.026171656,0.028052682
73,0.027256645,0.027491557,0.032535555,0.021984913,0.026332764,0.028188295
74,0.027401075,0.027632846,0.032660197,0.022149007,0.026489544,0.028320261
75,0.027541675,0.027770388,0.03278153,0.022308751,0.026642167,0.028448726
76,0.027678595,0.027904328,0.032899686,0.022464316,0.026790797,0.028573827
77,0.027811976,0.028034807,0.033014786,0.022615865,0.026935587,0.028695693
78,0.027941955,0.028161957,0.033126948,0.02276355,0.027076685,0.028814449
79,0.028068659,0.028285903,0.033236282,0.022907517,0.027214231,0.028930213
80,0.028192211,0.028406766,0.033342895,0.023047904,0.027348355,0.029043095
81,0.028312727,0.028524658,0.033446886,0.023184845,0.027479186,0.029153202
82,0.028430317,0.028639688,0.033548351,0.023318463,0.027606841,0.029260636
83,0.028545087,0.028751958,0.03364738,0.023448878,0.027731436,0.029365491
84,0.028657137,0.028861568,0.033744061,0.023576205,0.027853079,0.02946786
85,0.028766563,0.02896861,0.033838476,0.023700551,0.027971874,0.029567831
86,0.028873454,0.029073173,0.033930704,0.02382202,0.02808792,0.029665486
87,0.0289779,0.029175343,0.034020819,0.023940711,0.028201311,0.029760905
88,0.029079982,0.029275201,0.034108894,0.024056717,0.028312136,0.029854164
89,0.029179779,0.029372824,0.034194997,0.02417013,0.028420483,0.029945336
